64,Tottenham Hotspur,4-2-3-1,Crystal Palace,4-3-3,2,0,2018/19,Premier League
65,Watford,4-2-2-2,Fulham,3-4-3,4,1,2018/19,Premier League
66,Wolverhampton Wanderers,3-5-2,Manchester United,3-5-1-1,2,1,2018/19,Premier League
67,Arsenal,3-4-2-1,Newcastle United,5-4-1,2,0,2018/19,Premier League
68,Cardiff City,4-2-3-1,Chelsea,4-3-3,1,2,2018/19,Premier League
69,Liverpool,4-3-3,Tottenham Hotspur,3-1-4-2,2,1,2018/19,Premier League
70,Fulham,4-3-3,Manchester City,4-3-3,0,2,2018/19,Premier League
71,Brighton and Hove Albion,4-3-3,Southampton,4-2-2-2,0,1,2018/19,Premier League
72,Burnley,4-4-2,Wolverhampton Wanderers,3-5-2,2,0,2018/19,Premier League
73,Crystal Palace,4-3-3,Huddersfield Town,4-5-1,2,0,2018/19,Premier League
74,Leicester City,4-1-4-1,AFC Bournemouth,4-4-2,2,0,2018/19,Premier League
75,Manchester United,4-3-1-2,Watford,4-2-2-2,2,1,2018/19,Premier League
76,West Ham United,4-4-2,Everton,4-2-3-1,0,2,2018/19,Premier League
77,Fulham,4-3-3,Liverpool,4-3-3,1,2,2018/19,Premier League
78,Everton,4-2-3-1,Chelsea,4-3-3,2,0,2018/19,Premier League
79,AFC Bournemouth,4-4-2,Newcastle United,5-4-1,2,2,2018/19,Premier League
80,Burnley,4-4-2,Leicester City,4-1-4-1,1,2,2018/19,Premier League
81,West Ham United,4-1-4-1,Huddersfield Town,4-2-3-1,4,3,2018/19,Premier League
82,Liverpool,4-3-3,Burnley,4-4-2,4,2,2018/19,Premier League
83,Chelsea,4-3-3,Wolverhampton Wanderers,3-5-2,1,1,2018/19,Premier League
84,Arsenal,3-4-1-2,Manchester United,4-4-2,2,0,2018/19,Premier League
85,Crystal Palace,4-3-3,Brighton and Hove Albion,4-5-1,1,2,2018/19,Premier League
86,Cardiff City,4-2-3-1,West Ham United,4-1-4-1,2,0,2018/19,Premier League
87,Huddersfield Town,4-2-3-1,AFC Bournemouth,4-4-2,0,2,2018/19,Premier League
88,Leicester City,4-3-3,Fulham,4-3-3,3,1,2018/19,Premier League
89,Newcastle United,3-4-3,Everton,4-2-3-1,3,2,2018/19,Premier League
90,Southampton,3-4-2-1,Tottenham Hotspur,4-1-2-1-2,2,1,2018/19,Premier League
91,Manchester City,4-3-3,Watford,4-5-1,3,1,2018/19,Premier League
92,Watford,4-2-2-2,Leicester City,3-4-2-1,2,1,2018/19,Premier League
93,Fulham,4-2-3-1,Chelsea,4-3-3,1,2,2018/19,Premier League
94,Everton,4-4-1-1,Liverpool,4-3-3,0,0,2018/19,Premier League
95,Tottenham Hotspur,3-4-1-2,Arsenal,4-2-3-1,1,1,2018/19,Premier League
96,AFC Bournemouth,5-4-1,Manchester City,4-3-3,0,1,2018/19,Premier League
97,Brighton and Hove Albion,4-3-3,Huddersfield Town,4-1-2-1-2,1,0,2018/19,Premier League
98,Burnley,4-4-2,Crystal Palace,4-5-1,1,3,2018/19,Premier League
99,Manchester United,4-3-1-2,Southampton,3-4-2-1,3,2,2018/19,Premier League
100,Wolverhampton Wanderers,3-5-2,Cardiff City,4-1-2-1-2,2,0,2018/19,Premier League
101,West Ham United,4-1-4-1,Newcastle United,5-4-1,2,0,2018/19,Premier League
102,Arsenal,3-4-2-1,AFC Bournemouth,4-4-2,5,1,2018/19,Premier League
103,Southampton,3-4-2-1,Fulham,4-3-1-2,2,0,2018/19,Premier League
104,Chelsea,4-3-3,Tottenham Hotspur,4-2-3-1,2,0,2018/19,Premier League
105,Crystal Palace,4-3-3,Manchester United,4-3-3,1,3,2018/19,Premier League
106,Liverpool,4-3-3,Watford,4-2-2-2,5,0,2018/19,Premier League
107,Manchester City,4-3-3,West Ham United,4-2-3-1,1,0,2018/19,Premier League
108,Cardiff City,4-4-1-1,Everton,4-2-3-1,0,3,2018/19,Premier League
109,Huddersfield Town,4-1-2-1-2,Wolverhampton Wanderers,3-5-2,1,0,2018/19,Premier League
110,Leicester City,4-3-3,Brighton and Hove Albion,4-3-3,2,1,2018/19,Premier League
111,Newcastle United,5-4-1,Burnley,4-4-2,2,0,2018/19,Premier League
112,Arsenal,4-2-3-1,Southampton,3-5-1-1,2,0,2018/19,Premier League
113,Manchester United,4-3-1-2,Liverpool,4-3-3,0,0,2018/19,Premier League
114,Burnley,4-4-2,Tottenham Hotspur,3-5-2,2,1,2018/19,Premier League
115,AFC Bournemouth,4-4-1-1,Wolverhampton Wanderers,3-5-2,1,1,2018/19,Premier League
116,Newcastle United,5-4-1,Huddersfield Town,4-1-2-1-2,2,0,2018/19,Premier League
117,Leicester City,4-3-3,Crystal Palace,4-3-3,1,4,2018/19,Premier League
118,Cardiff City,3-4-3,Watford,4-2-2-2,1,5,2018/19,Premier League
119,West Ham United,4-1-4-1,Fulham,4-4-1-1,3,1,2018/19,Premier League
120,Wolverhampton Wanderers,3-5-2,Newcastle United,3-5-1-1,1,1,2018/19,Premier League
